"","hhid14","commid14","sc01_14_14","sc02_14_14","sc03_14_14","year","asset","natrep","natdis","assistance","assistance.x","wealth","wealth.0","asset.lag","asset.ihs","asset.ihs.lag","wealth.lag","asset.ihs.delta","natrep.0","natrep.1","natdis.0","natdis.1","assistance.prop.ihs"
"91","0032900","1203",12,77,50,2007,44279340,0,0,0,0,2,3,44182336,18.2991759411045,18.2969828097223,3,0.00219313138225274,0,0,0,0,0
"92","0032900","1203",12,77,50,2014,150245000,0,0,0,0,3,3,44279340,19.5209250335156,18.2991759411045,2,1.22174909241108,0,0,0,0,0
"93","0033000","1203",12,77,50,2007,15467647,0,0,0,0,1,2,32026500,17.2474082907004,17.9752214236176,2,-0.727813132917277,0,0,0,0,0
"94","0033000","1203",12,77,50,2014,25990000,0,0,0,0,1,2,15467647,17.7663695871776,17.2474082907004,1,0.518961296477265,0,0,0,0,0
"95","0040100","12C0",12,6,31,2007,24135252.5,0,0,0,0,2,3,69262644,17.6923312695666,18.7465634517626,3,-1.05423218219601,0,0,0,0,0
"96","0040100","12C0",12,6,31,2014,210840000,0,0,0,0,4,3,24135252.5,19.8597572905112,17.6923312695666,2,2.16742602094461,0,0,0,0,0
"97","0040200","1204",12,6,71,2007,180732,1,0,0,0,1,2,17507820,12.7979177305674,17.3713053767856,2,-4.57338764621818,1,0,0,0,0
"98","0040200","1204",12,6,71,2014,1420000,0,0,0,0,1,2,180732,14.8593146101375,12.7979177305674,1,2.06139687957007,1,0,0,0,0
"99","0040300","1204",12,6,71,2007,30122,0,0,0,0,1,1,512424,11.0061582616073,13.8400548668762,1,-2.83389660526895,0,0,0,0,0
"100","0040300","1204",12,6,71,2014,33300000,0,0,0,0,2,1,30122,18.0142151355106,11.0061582616073,1,7.00805687390335,0,0,0,0,0
"101","0040321","14B0",14,5,12,2007,539936850,0,0,0,0,5,4,147677750,20.8001099267996,19.5036902735181,4,1.2964196532815,0,0,0,0,0
"102","0040321","14B0",14,5,12,2014,4e+05,0,0,0,0,1,4,539936850,13.5923670066516,20.8001099267996,5,-7.20774292014793,0,0,0,0,0
"103","0040400","1204",12,6,71,2007,95787960,0,0,0,0,3,2,16340632,19.070794737106,17.3023125052987,2,1.76848223180729,0,0,0,0,0
"104","0040400","1204",12,6,71,2014,902750000,0,0,0,0,5,2,95787960,21.3141033986818,19.070794737106,3,2.24330866157582,0,0,0,0,0
"105","0040500","1204",12,6,71,2007,6777450,0,0,0,0,1,4,86457316,16.4222586635362,18.9683085740249,4,-2.54604991048869,0,0,0,0,0
